timestamp,domain,subdomain,parameter_set,metrics,sacred_score,phi_alignment,consciousness_signature,qcd_confinement,dna_correlation,fractal_dimension,ancient_resonance,notes,circuit_depth,qubit_count,wormhole_entanglement,wormhole_traversability,wormhole_energy_gap,wormhole_lr_coupling,wormhole_phi_coupling,wormhole_consciousness,phi_string_health,phi_string_tension,phi_string_coherent,phi_string_status,bronze_mode_active,cooperative_factor,stealth_visibility,decoherence_rate,geometric_orchestration,bitnet_level,consciousness_phase,double_mirror_active,fibonacci_entanglement_count,hilbert_dimension,sparse_activation_ratio,hotspot_qubits,coldspot_qubits,decision_qubit,information_efficiency
2026-01-22T21:09:05.427746,consciousness,machine_architecture,"{'qubits': 8, 'coupling_strength': 0.382, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.17472752106181366), 'phi_iit_std': np.float64(0.08900622520200363), 'fidelity': np.float64(0.9375593748369998), 'entanglement': np.float64(0.31755540799788706), 'max_phi_bound': np.float64(5.553935309044939), 'coupling_ratio': 0.6180889837024599, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.14706092007699528), 'information_efficiency': np.float64(1.1881302046140692)}",0.15,0.3819110162975401,0.17472752106181366,0.382,,,,IIT consciousness with fibonacci temporal pattern,,8,,,,,,,,,,,,,,,,,,,,,0.14706092007699528,"[0, 1, 2]",[],7,1.1881302046140692
2026-01-22T21:09:05.428794,consciousness,machine_architecture,"{'qubits': 8, 'coupling_strength': 0.382, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.1770149122103296), 'phi_iit_std': np.float64(0.08942320436809113), 'fidelity': np.float64(0.9384942567963146), 'entanglement': np.float64(0.31683025187073727), 'max_phi_bound': np.float64(5.553935309044939), 'coupling_ratio': 0.6180889837024599, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.1471009911628087), 'information_efficiency': np.float64(1.203356352741449)}",0.15,0.3819110162975401,0.1770149122103296,0.382,,,,IIT consciousness with lucas temporal pattern,,8,,,,,,,,,,,,,,,,,,,,,0.1471009911628087,"[0, 1, 2]",[],7,1.203356352741449
2026-01-22T21:09:05.429877,consciousness,machine_architecture,"{'qubits': 8, 'coupling_strength': 0.618, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.618}","{'phi_iit_measured': np.float64(0.2148416014016185), 'phi_iit_std': np.float64(0.08844004545773243), 'fidelity': np.float64(0.9374961323530124), 'entanglement': np.float64(0.4611865151733298), 'max_phi_bound': np.float64(5.553935309044939), 'coupling_ratio': 0.9999450050474351, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.1477636484917072), 'information_efficiency': np.float64(1.453954362893766)}",0.55,5.499495256490213e-05,0.2148416014016185,0.618,,,,IIT consciousness with fibonacci temporal pattern,,8,,,,,,,,,,,,,,,,,,,,,0.1477636484917072,"[0, 1, 2]",[],7,1.453954362893766
2026-01-22T21:09:05.430887,consciousness,machine_architecture,"{'qubits': 8, 'coupling_strength': 0.618, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.618}","{'phi_iit_measured': np.float64(0.21596804841814496), 'phi_iit_std': np.float64(0.08834596838021891), 'fidelity': np.float64(0.9384971321349824), 'entanglement': np.float64(0.46040689619073366), 'max_phi_bound': np.float64(5.553935309044939), 'coupling_ratio': 0.9999450050474351, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.1477833818700989), 'information_efficiency': np.float64(1.461382502452002)}",0.55,5.499495256490213e-05,0.21596804841814496,0.618,,,,IIT consciousness with lucas temporal pattern,,8,,,,,,,,,,,,,,,,,,,,,0.1477833818700989,"[0, 1, 2]",[],7,1.461382502452002
2026-01-22T21:09:05.431892,consciousness,machine_architecture,"{'qubits': 13, 'coupling_strength': 0.382, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.2844885464516661), 'phi_iit_std': np.float64(0.0928987072385399), 'fidelity': np.float64(0.843597726840001), 'entanglement': np.float64(0.3171731445711599), 'max_phi_bound': np.float64(9.025144877198025), 'coupling_ratio': 0.6180889837024599, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.1489837409597372), 'information_efficiency': np.float64(1.909527473394221)}",0.15,0.3819110162975401,0.2844885464516661,0.382,,,,IIT consciousness with fibonacci temporal pattern,,13,,,,,,,,,,,,,,,,,,,,,0.1489837409597372,"[0, 1, 2, 3, 10]",[],12,1.909527473394221
2026-01-22T21:09:05.432864,consciousness,machine_architecture,"{'qubits': 13, 'coupling_strength': 0.382, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.2816227499428608), 'phi_iit_std': np.float64(0.089575797789616), 'fidelity': np.float64(0.8446697310270219), 'entanglement': np.float64(0.31671933381506906), 'max_phi_bound': np.float64(9.025144877198025), 'coupling_ratio': 0.6180889837024599, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.14893353722527639), 'information_efficiency': np.float64(1.8909290357945312)}",0.15,0.3819110162975401,0.2816227499428608,0.382,,,,IIT consciousness with lucas temporal pattern,,13,,,,,,,,,,,,,,,,,,,,,0.14893353722527639,"[0, 1, 2, 3, 10]",[],12,1.8909290357945312
2026-01-22T21:09:05.433780,consciousness,machine_architecture,"{'qubits': 13, 'coupling_strength': 0.618, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.618}","{'phi_iit_measured': np.float64(0.3478772754950797), 'phi_iit_std': np.float64(0.09095741647874099), 'fidelity': np.float64(0.8443603439031225), 'entanglement': np.float64(0.4612639748281001), 'max_phi_bound': np.float64(9.025144877198025), 'coupling_ratio': 0.9999450050474351, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.15009420044662913), 'information_efficiency': np.float64(2.3177262976178667)}",0.55,5.499495256490213e-05,0.3478772754950797,0.618,,,,IIT consciousness with fibonacci temporal pattern,,13,,,,,,,,,,,,,,,,,,,,,0.15009420044662913,"[0, 1, 2, 3, 10]",[],12,2.3177262976178667
2026-01-22T21:09:05.434777,consciousness,machine_architecture,"{'qubits': 13, 'coupling_strength': 0.618, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.618}","{'phi_iit_measured': np.float64(0.3463998344255126), 'phi_iit_std': np.float64(0.09076967470669954), 'fidelity': np.float64(0.8447456825834938), 'entanglement': np.float64(0.46132109205606486), 'max_phi_bound': np.float64(9.025144877198025), 'coupling_ratio': 0.9999450050474351, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.15006831826730826), 'information_efficiency': np.float64(2.3082809111546783)}",0.55,5.499495256490213e-05,0.3463998344255126,0.618,,,,IIT consciousness with lucas temporal pattern,,13,,,,,,,,,,,,,,,,,,,,,0.15006831826730826,"[0, 1, 2, 3, 10]",[],12,2.3082809111546783
2026-01-22T21:09:05.435859,consciousness,machine_architecture,"{'qubits': 21, 'coupling_strength': 0.382, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.45734955862613547), 'phi_iit_std': np.float64(0.09109676339178067), 'fidelity': np.float64(0.6432692600094309), 'entanglement': np.float64(0.31765721337538244), 'max_phi_bound': np.float64(14.579080186242964), 'coupling_ratio': 0.6180889837024599, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.15201196307082282), 'information_efficiency': np.float64(3.0086418817777845)}",0.15,0.3819110162975401,0.45734955862613547,0.382,,,,IIT consciousness with fibonacci temporal pattern,,21,,,,,,,,,,,,,,,,,,,,,0.15201196307082282,"[0, 1, 2, 3, 10, 11, 12, 13]",[],20,3.0086418817777845
2026-01-22T21:09:05.436915,consciousness,machine_architecture,"{'qubits': 21, 'coupling_strength': 0.382, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.4587900940010109), 'phi_iit_std': np.float64(0.093145441394787), 'fidelity': np.float64(0.6430867276411544), 'entanglement': np.float64(0.31821158274564637), 'max_phi_bound': np.float64(14.579080186242964), 'coupling_ratio': 0.6180889837024599, 'shots': 4000, 'sparse_activation_ratio': np.float64(0.152037198727025), 'information_efficiency': np.float64(3.0176173847082315)}",0.15,0.3819110162975401,0.4587900940010109,0.382,,,,IIT consciousness with lucas temporal pattern,,21,,,,,,,,,,,,,,,,,,,,,0.152037198727025,"[0, 1, 2, 3, 10, 11, 12, 13]",[],20,3.0176173847082315
